tool	CPAchecker 1.9	CPAchecker 1.9	CPAchecker 1.9	CPAchecker 1.9
run set	sv-comp18	sv-comp18	sv-comp18	sv-comp18
../../sv-benchmarks/c/	status	cputime (s)	walltime (s)	memory (MB)
array-industry-pattern/array_mul_init_true-unreach-call_true-termination.i	unknown	6.091232288	2.8507206560025224	399.052800
array-industry-pattern/array_of_struct_break_true-unreach-call.i	TIMEOUT	902.847828656	898.005140741996	3684.073472
array-industry-pattern/array_of_struct_ptr_cond_init_true-unreach-call.i	TIMEOUT	902.897989552	897.7122089999903	4020.682752
array-industry-pattern/array_of_struct_ptr_flag_init_true-unreach-call.i	unknown	6.266904615	3.0021998299926054	342.282240
array-industry-pattern/array_of_struct_ptr_monotonic_true-unreach-call.i	TIMEOUT	902.889660961	897.8072042270069	3956.408320
array-industry-pattern/array_of_struct_ptr_mul_init_true-unreach-call.i	TIMEOUT	904.324010527	898.249837018011	5528.244224
array-industry-pattern/array_of_struct_single_elem_init_true-unreach-call.i	TIMEOUT	905.153136907	900.1440098790044	7137.783808
array-industry-pattern/array_ptr_partial_init_true-unreach-call.i	TIMEOUT	902.796366495	898.9073194320081	3611.611136
array-industry-pattern/array_ptr_single_elem_init_true-unreach-call.i	TIMEOUT	902.927201619	898.0717101430055	3737.690112
array-industry-pattern/array_shadowinit_true-unreach-call_true-termination.i	unknown	3.881381599	1.5754912749980576	179.924992
reducercommutativity/rangesum05_false-unreach-call_true-termination.i	unknown	3.767247204	1.4100634079950396	154.550272
reducercommutativity/rangesum10_false-unreach-call_true-termination.i	unknown	3.801736156	1.5053721420117654	161.140736
reducercommutativity/rangesum20_false-unreach-call.i	unknown	3.995581887	1.6352252770011546	158.552064
reducercommutativity/rangesum40_false-unreach-call.i	unknown	3.749445162	1.3920039239892503	151.756800
reducercommutativity/rangesum60_false-unreach-call.i	unknown	3.655504553	1.3542054160061525	156.160000
reducercommutativity/rangesum_false-unreach-call_true-termination.i	unknown	4.1068562	1.4419548349978868	169.586688
