tool	CPAchecker 1.9	CPAchecker 1.9	CPAchecker 1.9	CPAchecker 1.9
run set	cpa-symexA.sv-comp18	cpa-symexA.sv-comp18	cpa-symexA.sv-comp18	cpa-symexA.sv-comp18
../sv-benchmarks/c/	status	cputime (s)	walltime (s)	memory (MB)
reducercommutativity/avg05_true-unreach-call_true-termination.i	TIMEOUT	900.723429169	897.718764494988	770.023424
reducercommutativity/avg10_true-unreach-call_true-termination.i	TIMEOUT	900.706066704	896.715388386976	867.360768
reducercommutativity/avg20_true-unreach-call.i	TIMEOUT	912.004536102	904.503056663001	1356.259328
reducercommutativity/avg40_true-unreach-call.i	TIMEOUT	901.187910312	888.938185514009	1678.815232
reducercommutativity/avg60_true-unreach-call.i	TIMEOUT	901.404434092	886.103581595991	1551.855616
reducercommutativity/avg_true-unreach-call_true-termination.i	TIMEOUT	900.803643191	895.310348707018	443.71968
reducercommutativity/max05_true-unreach-call_true-termination.i	TIMEOUT	901.216620335	870.905676652037	1853.825024
reducercommutativity/max10_true-unreach-call_true-termination.i	TIMEOUT	902.2236798	654.562539705948	2743.885824
reducercommutativity/max20_true-unreach-call.i	TIMEOUT	901.156697749	891.180304331996	362.135552
reducercommutativity/max40_true-unreach-call.i	TIMEOUT	901.088634771	892.948660087015	329.166848
reducercommutativity/max60_true-unreach-call.i	TIMEOUT	900.99014333	893.821339814051	322.49856
reducercommutativity/max_true-unreach-call_true-termination.i	TIMEOUT	903.736448315	613.813865854987	1722.904576
reducercommutativity/sep05_true-unreach-call_true-termination.i	unknown	77.020285612	24.3936122899759	3589.439488
reducercommutativity/sep10_true-unreach-call.i	TIMEOUT	961.300322354	260.691537617997	11224.387584
reducercommutativity/sep20_true-unreach-call.i	TIMEOUT	902.081860632	727.385407058988	420.007936
reducercommutativity/sep40_true-unreach-call.i	TIMEOUT	901.112928477	891.772733034973	350.724096
reducercommutativity/sep60_true-unreach-call.i	TIMEOUT	901.050605512	893.812806242029	347.8528
reducercommutativity/sep_true-unreach-call_true-termination.i	TIMEOUT	920.693504759	335.432988986955	11276.468224
reducercommutativity/sum05_true-unreach-call_true-termination.i	unknown	581.478942215	577.96341971599	395.055104
