   BENCHMARK INFORMATION
benchmark definition:    /u/wel2vw/cpa-symexA.xml
name:                    cpa-symexA
run sets:                sv-comp18
date:                    Sun, 2021-09-26 10:48:10 EDT
tool:                    CPAchecker 1.9
tool executable:         ./cpa.sh
options:                 -symbolicExecution -heap 10000M -benchmark -timelimit 900s
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             8
hardware requirements:
- cpu cores:             8
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    doppio01
os:                      Linux-3.10.0-1127.el7.x86_64-x86_64-with-glibc2.17
cpu:                     Intel Xeon Gold 6130 CPU @ 2.10GHz
- cores:                 64
- max frequency:         3700.0 MHz
- turbo boost enabled:   True
ram:                     134655.91398399998 MB
------------------------------------------------------------



sv-comp18
Run set 1 of 1 with options '-symbolicExecution -heap 10000M -benchmark -timelimit 900s' and propertyfile 'None'

inputfile                                                                                               status                    cpu time   wall time        host
ldv-regression/test15_true-unreach-call_true-termination.c                                              unknown                       3.87        1.47        None
ldv-regression/test16_true-unreach-call_true-termination.c                                              unknown                       3.98        1.47        None
ldv-regression/test17_true-unreach-call_true-termination.c                                              unknown                       4.13        1.49        None
ldv-regression/test18_true-unreach-call_true-termination.c                                              unknown                       4.13        1.47        None
ldv-regression/test19_true-unreach-call_true-termination.c                                              unknown                       4.03        1.48        None
ldv-regression/test20_true-unreach-call_true-termination.c                                              unknown                       4.06        1.48        None
ldv-regression/test21_true-unreach-call_true-termination.c                                              unknown                       5.51        1.84        None
ldv-regression/test22_true-unreach-call.c                                                               TIMEOUT                     900.65      701.31        None
ldv-regression/test23_true-unreach-call.c                                                               unknown                       5.50        1.96        None
ldv-regression/test24_true-unreach-call_true-termination.c                                              unknown                       4.16        1.51        None
ldv-regression/test25_true-unreach-call.c                                                               unknown                       4.94        1.75        None
ldv-regression/test26_true-unreach-call_true-termination.c                                              unknown                       4.12        1.48        None
ldv-regression/test27_true-unreach-call_true-termination.c                                              unknown                       5.09        1.86        None
ldv-regression/test28_true-unreach-call_true-termination.c                                              unknown                       4.55        1.57        None
ldv-regression/test29_true-unreach-call_true-termination.c                                              unknown                       4.34        1.55        None
ldv-regression/test30_true-unreach-call_true-termination.c                                              unknown                       4.23        1.50        None
ddv-machzwd/ddv_machzwd_all_false-unreach-call_true-valid-memsafety.i                                   false(unreach-call)          13.01        4.28        None
ddv-machzwd/ddv_machzwd_inw_false-unreach-call_true-valid-memsafety.i                                   false(unreach-call)          12.83        4.25        None
ddv-machzwd/ddv_machzwd_outb_false-unreach-call_true-valid-memsafety.i                                  false(unreach-call)          13.48        4.49        None
ddv-machzwd/ddv_machzwd_inb_p_true-unreach-call_false-valid-memtrack.i                                  TIMEOUT                     901.79      738.66        None
ddv-machzwd/ddv_machzwd_inb_true-unreach-call_false-valid-memtrack.i                                    TIMEOUT                     901.00      750.92        None
ddv-machzwd/ddv_machzwd_inl_p_true-unreach-call_false-valid-memtrack.i                                  TIMEOUT                     901.09      759.80        None
ddv-machzwd/ddv_machzwd_inl_true-unreach-call_false-valid-memtrack.i                                    TIMEOUT                     901.50      743.51        None
ddv-machzwd/ddv_machzwd_inw_p_true-unreach-call_false-valid-memtrack.i                                  TIMEOUT                     902.22      726.04        None
ddv-machzwd/ddv_machzwd_outb_p_true-unreach-call_false-valid-memtrack.i                                 TIMEOUT                     902.35      723.32        None
ddv-machzwd/ddv_machzwd_outl_p_true-unreach-call_false-valid-memtrack.i                                 TIMEOUT                     902.34      744.98        None
ddv-machzwd/ddv_machzwd_outl_true-unreach-call_false-valid-memtrack.i                                   TIMEOUT                     902.68      751.91        None
ddv-machzwd/ddv_machzwd_outw_p_true-unreach-call_false-valid-memtrack.i                                 TIMEOUT                     901.72      724.30        None
ddv-machzwd/ddv_machzwd_pthread_mutex_unlock_true-unreach-call_false-valid-memtrack.i                   TIMEOUT                     900.96      723.46        None
forester-heap/dll-01_false-unreach-call_false-valid-memcleanup.i                                        false(unreach-call)           5.83        4.37        None
forester-heap/dll-circular_false-unreach-call_false-valid-memcleanup.i                                  false(unreach-call)           5.56        2.96        None
forester-heap/dll-optional_false-unreach-call_false-valid-memcleanup.i                                  false(unreach-call)           6.73        3.50        None
forester-heap/dll-queue_false-unreach-call_false-valid-memcleanup.i                                     false(unreach-call)           5.74        2.93        None
forester-heap/dll-rb-cnstr_1_false-unreach-call_false-valid-deref.i                                     false(unreach-call)           5.82        3.16        None
forester-heap/dll-rb-sentinel_false-unreach-call_false-valid-memtrack.i                                 false(unreach-call)           5.65        2.92        None
forester-heap/dll-simple-white-blue_false-unreach-call_false-valid-memcleanup.i                         false(unreach-call)           5.84        3.35        None
forester-heap/dll-sorted_false-unreach-call_false-valid-memcleanup.i                                    false(unreach-call)           5.97        3.50        None
forester-heap/dll-token_false-unreach-call_false-valid-memcleanup.i                                     false(unreach-call)           5.44        3.04        None
forester-heap/sll-01_false-unreach-call_false-valid-deref.i                                             false(unreach-call)           5.72        2.86        None
forester-heap/sll-buckets_false-unreach-call_false-valid-memcleanup.i                                   false(unreach-call)           6.38        3.59        None
