   BENCHMARK INFORMATION
benchmark definition:    /u/wel2vw/cpa-cegar.xml
name:                    cpa-cegar
run sets:                sv-comp18
date:                    Wed, 2021-09-22 16:01:03 EDT
tool:                    CPAchecker 1.9
tool executable:         ./cpa.sh
options:                 -valueAnalysis-Cegar -heap 10000M -benchmark -timelimit 900s
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             8
hardware requirements:
- cpu cores:             8
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    doppio03
os:                      Linux-3.10.0-1127.el7.x86_64-x86_64-with-glibc2.17
cpu:                     Intel Xeon Gold 6130 CPU @ 2.10GHz
- cores:                 64
- max frequency:         3700.0 MHz
- turbo boost enabled:   True
ram:                     134655.91808 MB
------------------------------------------------------------



sv-comp18
Run set 1 of 1 with options '-valueAnalysis-Cegar -heap 10000M -benchmark -timelimit 900s' and propertyfile 'None'

inputfile                                                                                                                                                                                                        status                    cpu time   wall time        host
array-tiling/pr3_true-unreach-call.i                                                                                                                                                                             unknown                       4.92        1.77        None
array-tiling/pr4_true-unreach-call.i                                                                                                                                                                             unknown                       4.67        1.65        None
array-tiling/pr5_true-unreach-call.i                                                                                                                                                                             unknown                       4.69        1.72        None
array-tiling/revcpyswp2_true-unreach-call.i                                                                                                                                                                      unknown                       4.70        1.70        None
array-tiling/rew_true-unreach-call.i                                                                                                                                                                             unknown                       4.33        1.55        None
array-tiling/rewnif_true-unreach-call.i                                                                                                                                                                          unknown                       4.34        1.56        None
array-tiling/rewnifrev2_true-unreach-call.i                                                                                                                                                                      unknown                       4.60        1.74        None
array-tiling/rewnifrev_true-unreach-call.i                                                                                                                                                                       unknown                       4.22        1.56        None
array-tiling/rewrev_true-unreach-call.i                                                                                                                                                                          unknown                       4.34        1.58        None
array-tiling/skipped_true-unreach-call.i                                                                                                                                                                         unknown                       4.36        1.58        None
array-tiling/tcpy_true-unreach-call.i                                                                                                                                                                            unknown                       4.34        1.60        None
array-programs/copysome1_false-unreach-call.i                                                                                                                                                                    TIMEOUT                     900.88      874.67        None
array-programs/copysome2_false-unreach-call.i                                                                                                                                                                    TIMEOUT                     901.08      872.07        None
array-programs/copysome1_true-unreach-call.i                                                                                                                                                                     TIMEOUT                     901.01      871.38        None
