tool	CPAchecker 1.9	CPAchecker 1.9	CPAchecker 1.9	CPAchecker 1.9
run set	sv-comp18	sv-comp18	sv-comp18	sv-comp18
../../sv-benchmarks/c/	status	cputime (s)	walltime (s)	memory (MB)
reducercommutativity/avg60_true-unreach-call.i	TIMEOUT	901.404434092	886.1035815959913	1551.855616
reducercommutativity/avg_true-unreach-call_true-termination.i	TIMEOUT	900.803643191	895.3103487070184	443.719680
reducercommutativity/max05_true-unreach-call_true-termination.i	TIMEOUT	901.216620335	870.9056766520371	1853.825024
reducercommutativity/max10_true-unreach-call_true-termination.i	TIMEOUT	902.2236798	654.5625397059484	2743.885824
reducercommutativity/max20_true-unreach-call.i	TIMEOUT	901.156697749	891.180304331996	362.135552
reducercommutativity/max40_true-unreach-call.i	TIMEOUT	901.088634771	892.948660087015	329.166848
reducercommutativity/max60_true-unreach-call.i	TIMEOUT	900.99014333	893.8213398140506	322.498560
reducercommutativity/max_true-unreach-call_true-termination.i	TIMEOUT	903.736448315	613.813865854987	1722.904576
reducercommutativity/sep05_true-unreach-call_true-termination.i	unknown	77.020285612	24.393612289975863	3589.439488
reducercommutativity/sep10_true-unreach-call.i	TIMEOUT	961.300322354	260.6915376179968	11224.387584
reducercommutativity/sep20_true-unreach-call.i	TIMEOUT	902.081860632	727.3854070589878	420.007936
reducercommutativity/sep40_true-unreach-call.i	TIMEOUT	901.112928477	891.7727330349735	350.724096
reducercommutativity/sep60_true-unreach-call.i	TIMEOUT	901.050605512	893.8128062420292	347.852800
reducercommutativity/sep_true-unreach-call_true-termination.i	TIMEOUT	920.693504759	335.432988986955	11276.468224
reducercommutativity/sum05_true-unreach-call_true-termination.i	unknown	581.478942215	577.9634197159903	395.055104
reducercommutativity/sum10_true-unreach-call_true-termination.i	TIMEOUT	900.853776172	896.4515256059822	702.480384
reducercommutativity/sum20_true-unreach-call.i	TIMEOUT	900.765792363	893.0624151160009	997.519360
reducercommutativity/sum40_true-unreach-call.i	TIMEOUT	901.190029135	890.1206583330058	1288.171520
reducercommutativity/sum60_true-unreach-call.i	TIMEOUT	901.482564109	886.4393789279857	1587.802112
reducercommutativity/sum_true-unreach-call_true-termination.i	TIMEOUT	900.797925396	891.6544282330433	687.783936
array-tiling/mlceu_false-unreach-call.i	TIMEOUT	900.366987333	744.7208208650118	686.391296
array-tiling/skippedu_false-unreach-call.i	false(unreach-call)	4.532048436	1.6688771799672395	169.611264
array-tiling/mbpr2_true-unreach-call.i	TIMEOUT	902.096557457	616.3771870670025	959.877120
array-tiling/mbpr3_true-unreach-call.i	TIMEOUT	903.171175236	610.080250903964	959.549440
array-tiling/mbpr4_true-unreach-call.i	TIMEOUT	903.849490334	607.4893675509957	944.349184
array-tiling/mbpr5_true-unreach-call.i	TIMEOUT	903.363598316	611.8614378659986	810.491904
array-tiling/nr2_true-unreach-call.i	TIMEOUT	902.994938736	572.3210845499998	1170.432000
array-tiling/nr3_true-unreach-call.i	TIMEOUT	901.293591714	593.9804074160056	1125.826560
array-tiling/nr4_true-unreach-call.i	TIMEOUT	903.708512139	580.9111417839886	1178.017792
array-tiling/nr5_true-unreach-call.i	TIMEOUT	900.918013777	595.6011683319812	1120.247808
array-tiling/pnr2_true-unreach-call.i	TIMEOUT	901.619713017	870.9930606900016	1444.544512
array-tiling/pnr3_true-unreach-call.i	TIMEOUT	901.507470778	873.463464253	1459.716096
array-tiling/pnr4_true-unreach-call.i	TIMEOUT	901.19409925	872.8103513820097	1451.446272
array-tiling/pnr5_true-unreach-call.i	TIMEOUT	901.358333006	871.0822081950027	1459.531776
array-tiling/poly1_true-unreach-call.i	TIMEOUT	902.815305368	751.1507843760191	696.172544
array-tiling/poly2_true-unreach-call.i	TIMEOUT	902.070525084	755.9664649440092	828.297216
array-tiling/pr2_true-unreach-call.i	TIMEOUT	904.097739756	719.7342778660241	969.596928
array-tiling/pr3_true-unreach-call.i	TIMEOUT	903.178681665	691.2339024970424	825.339904
array-tiling/pr4_true-unreach-call.i	TIMEOUT	902.400249952	767.7674437349779	817.233920
